1,0.117647,0.769231,96,51,48,45,99,5,65,68,4,11,70
2,0.117647,0.857143,96,71,56,23,29,6,32,97,7,66,18
3,0.117647,0.857143,100,83,93,9,35,74,61,19,62,13,39
4,0.117647,0.769231,96,51,48,45,99,5,65,68,11,1,70
5,0.117647,0.814815,98,51,48,45,99,65,68,11,70,46,6
6,0.117647,0.857143,96,71,56,23,29,97,32,2,7,66,18
7,0.117647,0.896552,94,71,36,23,29,56,32,69,66,6,2
8,0.315789,0.814815,100,13,3,62,93,35,74,19,9,39,83
9,0.117647,0.857143,100,83,93,39,35,74,61,19,62,13,3
10,0.315789,0.814815,100,95,71,36,32,37,30,69,7,66,33
11,0.117647,0.814815,98,51,48,45,99,5,65,68,70,46,6
12,0.222222,0.896552,100,58,101,21,84,44,22,17,24,38,60
13,0.117647,0.857143,100,83,93,39,35,74,61,19,9,62,3
14,0.315789,0.814815,100,89,82,47,78,43,54,100,16,15,86
15,0.4,0.814815,100,14,26,86,78,100,54,89,16,82,47
16,0.4,0.857143,100,14,43,25,78,100,54,89,47,86,15
17,0.117647,0.814815,100,84,79,60,80,101,96,44,38,34,42
18,0.117647,0.857143,96,71,56,23,29,6,32,97,7,66,2
19,0.222222,0.896552,100,3,87,74,62,9,13,83,61,39,93
20,0.4,0.933333,100,76,49,75,61,93,19,87,67,99,5
21,0.222222,0.896552,100,58,101,22,84,44,24,17,38,60,12
22,0.222222,0.814815,100,79,101,88,60,44,80,34,84,58,21
23,0.117647,0.857143,96,71,6,97,56,29,32,2,7,66,18
24,0.222222,0.814815,100,84,60,88,22,101,12,44,96,57,58
25,0.315789,0.769231,100,43,98,16,31,52,82,41,100,47,89
26,0.4,0.72,100,53,81,92,27,90,62,16,9,39,15
27,0.47619,0.72,100,26,15,63,78,77,53,81,92,90,62
28,0.315789,0.857143,100,95,37,85,97,94,36,23,2,18,33
29,0.117647,0.857143,96,71,6,23,97,56,32,2,7,66,18
30,0.315789,0.814815,100,71,32,69,10,97,4,1,7,66,33
31,0.4,0.814815,100,40,98,100,82,52,89,41,25,47,43
32,0.117647,0.896552,94,71,36,23,2,29,56,69,7,66,6
33,0.222222,0.814815,100,56,6,97,29,4,30,23,2,1,18
34,0.222222,0.814815,100,17,38,22,101,44,59,79,88,96,80
35,0.222222,0.814815,100,3,39,13,93,74,8,19,62,9,83
36,0.222222,0.857143,100,71,95,37,10,69,32,29,7,66,6
37,0.117647,0.814815,98,56,6,23,2,29,18,95,85,55,36
38,0.117647,0.814815,100,84,79,60,80,101,96,44,17,34,42
39,0.117647,0.857143,100,83,93,9,35,74,61,19,62,13,3
