1,"{x, 215, 310, 416, 512, 602, 699, 810, 907, 1001, 1101, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2115, 2217}",Poisonous,T1
2,"{x, 215, 321, 416, 497, 602, 699, 798, 907, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2010, 2110, 2203}",Edible,T2
3,"{b, 215, 319, 416, 508, 602, 699, 798, 910, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2010, 2110, 2209}",Edible,T3
4,"{x, 221, 319, 416, 512, 602, 699, 810, 910, 1001, 1101, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2115, 2217}",Poisonous,T4
5,"{x, 215, 303, 402, 510, 602, 719, 798, 907, 1016, 1101, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1901, 2010, 2097, 2203}",Edible,T5
6,"{x, 221, 321, 416, 497, 602, 699, 798, 910, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2110, 2203}",Edible,T6
7,"{b, 215, 319, 416, 497, 602, 699, 798, 903, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2110, 2209}",Edible,T7
8,"{b, 221, 319, 416, 508, 602, 699, 798, 910, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2010, 2115, 2209}",Edible,T8
9,"{x, 221, 319, 416, 512, 602, 699, 810, 912, 1001, 1101, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2118, 2203}",Poisonous,T9
10,"{b, 215, 321, 416, 497, 602, 699, 798, 903, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2115, 2209}",Edible,T10
11,"{x, 221, 321, 416, 508, 602, 699, 798, 903, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2010, 2110, 2203}",Edible,T11
12,"{x, 221, 321, 416, 497, 602, 699, 798, 910, 1001, 1099, 1215, 1315, 1419, 1519, 1612, 1719, 1811, 1912, 2007, 2115, 2209}",Edible,T12
