1,0.117647,0.72,86,45,11,4,5,46
2,0,0.72,54,23,29,18,56,6
3,0.117647,0.72,74,39,9,62,35,13
4,0.117647,0.72,86,1,45,11,5,46
5,0,0.666667,66,45,46,11,48,51
6,0,0.72,54,23,2,29,18,56
7,0.117647,0.769231,51,32,66,71,23,29
8,0.222222,0.814815,95,74,83,3,35,9
9,0.117647,0.72,74,39,62,3,13,35
10,0.222222,0.769231,93,32,36,37,66,7
11,0,0.666667,64,45,46,48,51,5
12,0.117647,0.814815,92,21,44,58,60,84
13,0.117647,0.72,74,39,9,3,62,35
14,0.222222,0.769231,98,78,16,47,15,82
15,0.222222,0.769231,97,47,16,86,14,54
16,0.222222,0.814815,96,86,15,78,14,47
17,0.117647,0.72,79,38,42,44,60,34
18,0,0.72,52,23,2,6,29,56
19,0.117647,0.666667,88,61,93,3,13,39
20,0.315789,0.47619,98,76,49,61,67,75
21,0.117647,0.814815,92,44,12,58,60,84
22,0.117647,0.814815,92,44,60,79,80,34
23,0,0.72,52,18,2,6,29,56
24,0.117647,0.72,92,44,57,60,84,88
25,0.222222,0.72,98,89,31,100,43,82
26,0.315789,0.608696,98,92,27,53,81,90
27,0.315789,0.666667,100,90,26,53,63,92
28,0.222222,0.72,96,37,85,94,95,97
29,0,0.72,52,18,2,6,23,56
30,0.315789,0.769231,96,1,33,69,4,5
31,0.117647,0.769231,93,25,89,43,41,52
32,0.117647,0.769231,50,7,66,71,18,23
33,0.222222,0.769231,85,97,2,6,4,18
34,0.117647,0.769231,94,17,38,22,79,80
35,0.117647,0.769231,84,74,83,3,8,9
36,0.117647,0.72,89,7,32,37,10,66
37,0.117647,0.666667,81,95,2,6,23,29
38,0.117647,0.72,76,17,34,42,44,60
39,0.117647,0.72,70,62,9,3,13,19
40,0.4,0.857143,96,98,43,31,52,41
41,0.222222,0.769231,91,98,43,31,52,40
42,0.222222,0.666667,84,17,72,38,44,57
43,0.222222,0.769231,98,52,31,89,41,25
44,0.117647,0.769231,80,60,84,101,21,22
45,0,0.666667,64,11,46,48,51,5
46,0,0.666667,64,11,45,48,51,5
47,0.222222,0.814815,96,16,15,86,14,78
48,0,0.666667,64,11,45,46,51,5
49,0.117647,0.608696,86,11,45,46,48,5
50,0.117647,0.608696,69,55,37,45,46,5
51,0,0.666667,62,11,45,46,48,5
52,0.222222,0.769231,90,98,41,31,43,40
53,0.222222,0.545455,65,81,90,92,26,27
54,0.315789,0.769231,98,16,86,47,15,78
55,0.117647,0.608696,69,50,37,45,46,5
56,0,0.72,37,18,2,6,23,29
57,0.222222,0.666667,97,72,44,59,60,24
58,0.117647,0.814815,91,44,12,21,60,84
59,0.222222,0.666667,98,42,57,34,72,79
60,0.117647,0.769231,80,44,84,101,21,22
61,0.117647,0.666667,84,93,9,3,13,19
62,0.117647,0.72,70,39,9,3,13,19
63,0.315789,0.608696,84,53,77,81,92,27
64,0.315789,0.608696,96,49,45,46,48,5
65,0,0.666667,62,11,45,46,48,5
66,0.117647,0.769231,50,7,32,71,18,23
67,0.315789,0.47619,98,76,20,49,61,75
68,0,0.666667,62,11,45,46,48,5
69,0.117647,0.72,86,7,11,32,45,5
70,0,0.666667,62,11,45,46,48,5
71,0.117647,0.769231,50,7,32,66,18,23
72,0.222222,0.608696,91,57,59,42,96,24
73,0.47619,0.666667,100,42,14,43,63,25
74,0.117647,0.769231,84,83,35,3,8,9
75,0.315789,0.545455,96,76,49,20,4,67
76,0.315789,0.545455,96,49,20,67,75,5
77,0.315789,0.666667,98,39,9,3,13,62
78,0.222222,0.857143,94,16,15,86,14,47
79,0.117647,0.769231,94,17,34,22,38,80
80,0.117647,0.769231,94,17,34,22,38,79
81,0.315789,0.545455,36,53,63,92,26,39
82,0.222222,0.72,98,14,89,100,25,31
83,0.117647,0.769231,84,74,35,3,8,9
84,0.117647,0.769231,80,44,60,101,21,22
85,0.117647,0.666667,94,37,94,95,97,28
86,0.222222,0.814815,97,16,15,47,14,54
87,0.222222,0.72,95,61,93,3,13,19
88,0.222222,0.769231,92,34,44,24,57,22
89,0.222222,0.72,96,25,31,82,100,52
90,0.4,0.608696,100,53,92,26,27,35
91,0.4,0.608696,100,57,72,92,23,24
92,0.315789,0.47619,38,26,63,81,50,53
93,0.117647,0.666667,84,61,9,3,13,19
94,0.222222,0.72,96,37,85,95,97,28
95,0.117647,0.666667,81,37,2,6,23,29
96,0.222222,0.666667,96,72,38,42,17,24
97,0.117647,0.72,83,18,2,6,23,29
98,0.315789,0.814815,96,52,41,31,43,40
99,0,0.666667,62,11,45,46,48,5
100,0.222222,0.72,98,14,82,89,25,31
101,0.117647,0.769231,80,44,60,84,21,22
