1,0.117647,0.814815,100,45,46,4,5,48,51,65,68,70,11
2,0.117647,0.72,100,56,18,45,5,6,7,23,29,32,11
3,0.117647,0.769231,100,35,39,83,62,74,19,93,9,13,61
4,0.117647,0.814815,100,1,45,46,5,48,51,65,68,70,11
5,0.117647,0.769231,100,48,51,65,68,70,45,99,29,46,11
6,0.117647,0.72,100,56,2,18,45,5,7,23,29,32,11
7,0.117647,0.769231,100,32,71,29,36,56,6,23,18,66,69
8,0.315789,0.814815,100,62,35,3,13,39,19,74,9,83,61
9,0.117647,0.769231,100,35,39,3,83,62,74,19,93,13,61
10,0.315789,0.769231,100,36,37,66,71,95,6,7,30,18,32
11,0.117647,0.769231,100,48,51,65,68,5,70,45,99,29,46
12,0.222222,0.814815,100,60,17,21,22,24,44,58,38,84,101
13,0.117647,0.769231,100,35,39,3,83,62,74,61,93,9,19
14,0.315789,0.814815,100,86,100,43,47,15,54,16,78,89,82
15,0.4,0.814815,100,26,14,86,25,16,47,27,53,54,78
16,0.4,0.857143,100,43,86,47,25,14,54,15,78,89,31
17,0.117647,0.769231,100,38,42,79,44,80,60,84,96,34,101
18,0.117647,0.72,100,56,2,11,45,5,6,7,23,29,32
19,0.222222,0.814815,100,93,39,3,74,61,83,13,87,9,62
20,0.4,0.666667,100,19,49,61,67,75,76,93,48,9,11
21,0.222222,0.814815,100,17,22,24,12,60,44,58,38,84,101
22,0.222222,0.814815,100,80,84,60,88,101,24,44,79,34,58
23,0.117647,0.72,100,56,2,11,45,5,6,7,18,29,32
24,0.222222,0.769231,100,84,88,96,101,22,60,38,72,44,57
25,0.315789,0.72,100,100,89,16,31,98,41,47,43,52,82
26,0.4,0.666667,100,27,81,90,92,15,47,16,53,9,62
27,0.47619,0.72,100,26,63,77,78,15,81,90,53,92,62
28,0.315789,0.72,100,85,94,95,97,37,6,50,18,23,55
29,0.117647,0.72,100,56,2,11,45,5,6,7,18,23,32
30,0.315789,0.769231,100,1,69,11,4,5,33,7,45,46,10
31,0.4,0.769231,100,82,40,89,41,43,98,100,52,25,60
